author,text,likes,publishedAt,sentiment
@adilechavush6284,total boycott anything usa made trump white house brno buy fly,0,2025-03-22T14:08:28Z,Negative
@micaelnilsson6152,songa href,0,2025-03-22T13:42:58Z,Neutral
@theredguy4845,youre taking bad situation making worse already dealing inflation tariffs make worse,0,2025-03-22T13:42:04Z,Negative
@vickiecapling,new russian states,0,2025-03-22T08:46:32Z,Neutral
@vickiecapling,usaar,0,2025-03-22T08:45:59Z,Neutral
@vickiecapling,ussar,0,2025-03-22T08:45:23Z,Neutral
@kabirkbiri1372,trump 60 years never seen president history usa selfish thinks money president going straight wall medieval policies dont know ever earth,0,2025-03-21T18:54:44Z,Negative
@minorityofthought1306,us citizens really living negative stereotypes comments,1,2025-03-21T16:59:04Z,Negative
@dennett73mk,trump says ramping tariffs get respect back joke amount money planet could get people respect orange ahole,0,2025-03-21T15:22:45Z,Negative
@NN-lx4mb,buy canadian goods,0,2025-03-21T14:05:44Z,Neutral
@joshuahuerta1236,canada trying weasel way paying tariffs south africans manned paid cash ones willing honorable south africans canadians showing weak truly trying weasel paying debts,0,2025-03-21T13:38:27Z,Negative
@baddalmatian99,observing administrations behaviour towards canada like watching surreal realisation john candys canadian bacon,0,2025-03-21T03:56:54Z,Neutral
@KimberlyVerville,light ongoing global economic crisis crucial everyone prioritize investing diverse sources income reliant government includes exploring opportunities stocks gold silver digital currencies despite challenging economic situation remains favorable time consider investments,5,2025-03-21T02:40:28Z,Neutral
@arandomguy8352,us started feel result,0,2025-03-20T23:06:25Z,Neutral
@Saavage7,href lmao trump destroying america canada gon na fine recession could happen significantly worse us canada strengthening ties eu,0,2025-03-20T21:43:27Z,Negative
@1309gsk,duffers elected trump lift havoc trumo,0,2025-03-20T21:29:03Z,Neutral
@Heartfullofgoldentempire,donald trump also already disqualification past present matter types tax compliance reports,0,2025-03-20T20:28:15Z,Neutral
@orangeofmars2835,tariff thing mess best disorganized clunky way though sure trump plan make money despite country best way obtain free trade agreement tariffs claimed trade agreement tailored country based laws economy country workers example countries environmental rules lax like mexico china trade united states must import fee paid country cost go country cost united states consumers require country take responsibility equalize demands even playing field united states similar examples worker pay worker safety rules etc nafta good idea require mexico adhere environmental worker requirements canada much better treating workers good environmental requirements makes one question treat mexico ideas common nafta early gw bush administration gop willing go route trump make things even far worse,1,2025-03-20T19:37:48Z,Neutral
@julianneedsblood7091,stongest countries havoc type effect planet,0,2025-03-20T19:01:54Z,Negative
@hospitalsgivingpatientsdan8894,canadas leadership blame stop diverting blame,0,2025-03-20T17:39:04Z,Negative
@ryugahydeki2,china sent canada tariff increase canada gives countries huge tariffs countries tax back get mad shameless canadian government,0,2025-03-20T14:25:19Z,Negative
@laurent3091,hey magats within year agent orange bring country knees point want become 11th province canada new province called canada south,0,2025-03-20T14:21:32Z,Neutral
@MannyLopez-y8p,oh god pos chump mean trump bring end usa wake maggots mean magaforget youre disciples fight country one guy bring disaster great nation wake,0,2025-03-20T09:41:08Z,Negative
